"Start time UTC","End time UTC","Up-regulating price in the Balancing energy market"
"2020-12-31T21:00:00.000Z","2020-12-31T22:00:00.000Z","26.55"
"2020-12-31T22:00:00.000Z","2020-12-31T23:00:00.000Z","24.07"
"2020-12-31T23:00:00.000Z","2021-01-01T00:00:00.000Z","24.94999"
"2021-01-01T00:00:00.000Z","2021-01-01T01:00:00.000Z","24.35"
"2021-01-01T01:00:00.000Z","2021-01-01T02:00:00.000Z","23.98"
"2021-01-01T02:00:00.000Z","2021-01-01T03:00:00.000Z","23.71999"
"2021-01-01T03:00:00.000Z","2021-01-01T04:00:00.000Z","23.73"
"2021-01-01T04:00:00.000Z","2021-01-01T05:00:00.000Z","24.05999"
"2021-01-01T05:00:00.000Z","2021-01-01T06:00:00.000Z","24.44"
"2021-01-01T06:00:00.000Z","2021-01-01T07:00:00.000Z","24.93"
"2021-01-01T07:00:00.000Z","2021-01-01T08:00:00.000Z","24.89999"
"2021-01-01T08:00:00.000Z","2021-01-01T09:00:00.000Z","25.07"
"2021-01-01T09:00:00.000Z","2021-01-01T10:00:00.000Z","25.62999"
"2021-01-01T10:00:00.000Z","2021-01-01T11:00:00.000Z","25.92"
"2021-01-01T11:00:00.000Z","2021-01-01T12:00:00.000Z","26.12999"
"2021-01-01T12:00:00.000Z","2021-01-01T13:00:00.000Z","26.57"
"2021-01-01T13:00:00.000Z","2021-01-01T14:00:00.000Z","27.3"
"2021-01-01T14:00:00.000Z","2021-01-01T15:00:00.000Z","28.60999"
"2021-01-01T15:00:00.000Z","2021-01-01T16:00:00.000Z","30.25"
"2021-01-01T16:00:00.000Z","2021-01-01T17:00:00.000Z","30.19"
"2021-01-01T17:00:00.000Z","2021-01-01T18:00:00.000Z","28.82"
"2021-01-01T18:00:00.000Z","2021-01-01T19:00:00.000Z","28.25"
"2021-01-01T19:00:00.000Z","2021-01-01T20:00:00.000Z","27.32"
"2021-01-01T20:00:00.000Z","2021-01-01T21:00:00.000Z","28.25"
"2021-01-01T21:00:00.000Z","2021-01-01T22:00:00.000Z","27.01"
"2021-01-01T22:00:00.000Z","2021-01-01T23:00:00.000Z","25.64"
"2021-01-01T23:00:00.000Z","2021-01-02T00:00:00.000Z","25.59"
"2021-01-02T00:00:00.000Z","2021-01-02T01:00:00.000Z","24.91"
"2021-01-02T01:00:00.000Z","2021-01-02T02:00:00.000Z","24.73999"
"2021-01-02T02:00:00.000Z","2021-01-02T03:00:00.000Z","24.66"
"2021-01-02T03:00:00.000Z","2021-01-02T04:00:00.000Z","24.71999"
"2021-01-02T04:00:00.000Z","2021-01-02T05:00:00.000Z","24.92"
"2021-01-02T05:00:00.000Z","2021-01-02T06:00:00.000Z","25.62"
"2021-01-02T06:00:00.000Z","2021-01-02T07:00:00.000Z","26.19"
"2021-01-02T07:00:00.000Z","2021-01-02T08:00:00.000Z","28.02"
"2021-01-02T08:00:00.000Z","2021-01-02T09:00:00.000Z","27.64999"
"2021-01-02T09:00:00.000Z","2021-01-02T10:00:00.000Z","28.82999"
"2021-01-02T10:00:00.000Z","2021-01-02T11:00:00.000Z","29.76"
"2021-01-02T11:00:00.000Z","2021-01-02T12:00:00.000Z","28.62"
"2021-01-02T12:00:00.000Z","2021-01-02T13:00:00.000Z","28.71999"
"2021-01-02T13:00:00.000Z","2021-01-02T14:00:00.000Z","36.72999"
"2021-01-02T14:00:00.000Z","2021-01-02T15:00:00.000Z","46.04999"
"2021-01-02T15:00:00.000Z","2021-01-02T16:00:00.000Z","58.88"
"2021-01-02T16:00:00.000Z","2021-01-02T17:00:00.000Z","60.50999"
"2021-01-02T17:00:00.000Z","2021-01-02T18:00:00.000Z","59.84"
"2021-01-02T18:00:00.000Z","2021-01-02T19:00:00.000Z","40.14999"
"2021-01-02T19:00:00.000Z","2021-01-02T20:00:00.000Z","29.5"
"2021-01-02T20:00:00.000Z","2021-01-02T21:00:00.000Z","31.14999"
"2021-01-02T21:00:00.000Z","2021-01-02T22:00:00.000Z","27.91"
"2021-01-02T22:00:00.000Z","2021-01-02T23:00:00.000Z","25.94"
"2021-01-02T23:00:00.000Z","2021-01-03T00:00:00.000Z","27.14"
"2021-01-03T00:00:00.000Z","2021-01-03T01:00:00.000Z","27"
"2021-01-03T01:00:00.000Z","2021-01-03T02:00:00.000Z","27"
"2021-01-03T02:00:00.000Z","2021-01-03T03:00:00.000Z","23.57"
"2021-01-03T03:00:00.000Z","2021-01-03T04:00:00.000Z","23.48999"
"2021-01-03T04:00:00.000Z","2021-01-03T05:00:00.000Z","23.85"
"2021-01-03T05:00:00.000Z","2021-01-03T06:00:00.000Z","24.05"
"2021-01-03T06:00:00.000Z","2021-01-03T07:00:00.000Z","24.8"
"2021-01-03T07:00:00.000Z","2021-01-03T08:00:00.000Z","24.96999"
"2021-01-03T08:00:00.000Z","2021-01-03T09:00:00.000Z","25.64999"
"2021-01-03T09:00:00.000Z","2021-01-03T10:00:00.000Z","26"
"2021-01-03T10:00:00.000Z","2021-01-03T11:00:00.000Z","26.07"
"2021-01-03T11:00:00.000Z","2021-01-03T12:00:00.000Z","25.87"
"2021-01-03T12:00:00.000Z","2021-01-03T13:00:00.000Z","25.82999"
"2021-01-03T13:00:00.000Z","2021-01-03T14:00:00.000Z","26.02"
"2021-01-03T14:00:00.000Z","2021-01-03T15:00:00.000Z","26.5"
"2021-01-03T15:00:00.000Z","2021-01-03T16:00:00.000Z","28.05"
"2021-01-03T16:00:00.000Z","2021-01-03T17:00:00.000Z","28.53"
"2021-01-03T17:00:00.000Z","2021-01-03T18:00:00.000Z","28.17"
"2021-01-03T18:00:00.000Z","2021-01-03T19:00:00.000Z","27.92"
"2021-01-03T19:00:00.000Z","2021-01-03T20:00:00.000Z","27.55999"
"2021-01-03T20:00:00.000Z","2021-01-03T21:00:00.000Z","28.12"
"2021-01-03T21:00:00.000Z","2021-01-03T22:00:00.000Z","26.18"
"2021-01-03T22:00:00.000Z","2021-01-03T23:00:00.000Z","24.92"
"2021-01-03T23:00:00.000Z","2021-01-04T00:00:00.000Z","24.66"
"2021-01-04T00:00:00.000Z","2021-01-04T01:00:00.000Z","24.05"
"2021-01-04T01:00:00.000Z","2021-01-04T02:00:00.000Z","23.87999"
"2021-01-04T02:00:00.000Z","2021-01-04T03:00:00.000Z","24.03"
"2021-01-04T03:00:00.000Z","2021-01-04T04:00:00.000Z","24.57999"
"2021-01-04T04:00:00.000Z","2021-01-04T05:00:00.000Z","25.84"
"2021-01-04T05:00:00.000Z","2021-01-04T06:00:00.000Z","28.21"
"2021-01-04T06:00:00.000Z","2021-01-04T07:00:00.000Z","49.75999"
"2021-01-04T07:00:00.000Z","2021-01-04T08:00:00.000Z","94.07999"
"2021-01-04T08:00:00.000Z","2021-01-04T09:00:00.000Z","70"
"2021-01-04T09:00:00.000Z","2021-01-04T10:00:00.000Z","67.2"
"2021-01-04T10:00:00.000Z","2021-01-04T11:00:00.000Z","57.29999"
"2021-01-04T11:00:00.000Z","2021-01-04T12:00:00.000Z","52.07"
"2021-01-04T12:00:00.000Z","2021-01-04T13:00:00.000Z","60"
"2021-01-04T13:00:00.000Z","2021-01-04T14:00:00.000Z","60.09"
"2021-01-04T14:00:00.000Z","2021-01-04T15:00:00.000Z","60.47999"
"2021-01-04T15:00:00.000Z","2021-01-04T16:00:00.000Z","61"
"2021-01-04T16:00:00.000Z","2021-01-04T17:00:00.000Z","66"
"2021-01-04T17:00:00.000Z","2021-01-04T18:00:00.000Z","66"
"2021-01-04T18:00:00.000Z","2021-01-04T19:00:00.000Z","63.17"
"2021-01-04T19:00:00.000Z","2021-01-04T20:00:00.000Z","50"
"2021-01-04T20:00:00.000Z","2021-01-04T21:00:00.000Z","42.97999"
"2021-01-04T21:00:00.000Z","2021-01-04T22:00:00.000Z","35"
"2021-01-04T22:00:00.000Z","2021-01-04T23:00:00.000Z","29.87999"
"2021-01-04T23:00:00.000Z","2021-01-05T00:00:00.000Z","27.80999"
"2021-01-05T00:00:00.000Z","2021-01-05T01:00:00.000Z","27.44999"
"2021-01-05T01:00:00.000Z","2021-01-05T02:00:00.000Z","27.07999"
"2021-01-05T02:00:00.000Z","2021-01-05T03:00:00.000Z","28"
"2021-01-05T03:00:00.000Z","2021-01-05T04:00:00.000Z","28"
"2021-01-05T04:00:00.000Z","2021-01-05T05:00:00.000Z","31.5"
"2021-01-05T05:00:00.000Z","2021-01-05T06:00:00.000Z","37"
"2021-01-05T06:00:00.000Z","2021-01-05T07:00:00.000Z","54.14"
"2021-01-05T07:00:00.000Z","2021-01-05T08:00:00.000Z","66.85999"
"2021-01-05T08:00:00.000Z","2021-01-05T09:00:00.000Z","66.85999"
"2021-01-05T09:00:00.000Z","2021-01-05T10:00:00.000Z","70"
"2021-01-05T10:00:00.000Z","2021-01-05T11:00:00.000Z","80.67"
"2021-01-05T11:00:00.000Z","2021-01-05T12:00:00.000Z","80.67"
"2021-01-05T12:00:00.000Z","2021-01-05T13:00:00.000Z","87"
"2021-01-05T13:00:00.000Z","2021-01-05T14:00:00.000Z","87"
"2021-01-05T14:00:00.000Z","2021-01-05T15:00:00.000Z","75.59999"
"2021-01-05T15:00:00.000Z","2021-01-05T16:00:00.000Z","75"
"2021-01-05T16:00:00.000Z","2021-01-05T17:00:00.000Z","75"
"2021-01-05T17:00:00.000Z","2021-01-05T18:00:00.000Z","87"
"2021-01-05T18:00:00.000Z","2021-01-05T19:00:00.000Z","87"
"2021-01-05T19:00:00.000Z","2021-01-05T20:00:00.000Z","87"
"2021-01-05T20:00:00.000Z","2021-01-05T21:00:00.000Z","87"
"2021-01-05T21:00:00.000Z","2021-01-05T22:00:00.000Z","64.46999"
"2021-01-05T22:00:00.000Z","2021-01-05T23:00:00.000Z","39"
"2021-01-05T23:00:00.000Z","2021-01-06T00:00:00.000Z","35"
"2021-01-06T00:00:00.000Z","2021-01-06T01:00:00.000Z","35"
"2021-01-06T01:00:00.000Z","2021-01-06T02:00:00.000Z","35"
"2021-01-06T02:00:00.000Z","2021-01-06T03:00:00.000Z","34"
"2021-01-06T03:00:00.000Z","2021-01-06T04:00:00.000Z","37"
"2021-01-06T04:00:00.000Z","2021-01-06T05:00:00.000Z","37"
"2021-01-06T05:00:00.000Z","2021-01-06T06:00:00.000Z","40"
"2021-01-06T06:00:00.000Z","2021-01-06T07:00:00.000Z","40"
"2021-01-06T07:00:00.000Z","2021-01-06T08:00:00.000Z","70"
"2021-01-06T08:00:00.000Z","2021-01-06T09:00:00.000Z","70"
"2021-01-06T09:00:00.000Z","2021-01-06T10:00:00.000Z","66.06999"
"2021-01-06T10:00:00.000Z","2021-01-06T11:00:00.000Z","73"
"2021-01-06T11:00:00.000Z","2021-01-06T12:00:00.000Z","76.68"
"2021-01-06T12:00:00.000Z","2021-01-06T13:00:00.000Z","76.7"
"2021-01-06T13:00:00.000Z","2021-01-06T14:00:00.000Z","76.89"
"2021-01-06T14:00:00.000Z","2021-01-06T15:00:00.000Z","76.87"
"2021-01-06T15:00:00.000Z","2021-01-06T16:00:00.000Z","80"
"2021-01-06T16:00:00.000Z","2021-01-06T17:00:00.000Z","121.92"
"2021-01-06T17:00:00.000Z","2021-01-06T18:00:00.000Z","106"
"2021-01-06T18:00:00.000Z","2021-01-06T19:00:00.000Z","84"
"2021-01-06T19:00:00.000Z","2021-01-06T20:00:00.000Z","84"
"2021-01-06T20:00:00.000Z","2021-01-06T21:00:00.000Z","84"
"2021-01-06T21:00:00.000Z","2021-01-06T22:00:00.000Z","65"
"2021-01-06T22:00:00.000Z","2021-01-06T23:00:00.000Z","65"
"2021-01-06T23:00:00.000Z","2021-01-07T00:00:00.000Z","85.95"
"2021-01-07T00:00:00.000Z","2021-01-07T01:00:00.000Z","59"
"2021-01-07T01:00:00.000Z","2021-01-07T02:00:00.000Z","43.1"
"2021-01-07T02:00:00.000Z","2021-01-07T03:00:00.000Z","39.78"
"2021-01-07T03:00:00.000Z","2021-01-07T04:00:00.000Z","41.28"
"2021-01-07T04:00:00.000Z","2021-01-07T05:00:00.000Z","45.53999"
"2021-01-07T05:00:00.000Z","2021-01-07T06:00:00.000Z","55.96999"
"2021-01-07T06:00:00.000Z","2021-01-07T07:00:00.000Z","67.79999"
"2021-01-07T07:00:00.000Z","2021-01-07T08:00:00.000Z","85"
"2021-01-07T08:00:00.000Z","2021-01-07T09:00:00.000Z","85"
"2021-01-07T09:00:00.000Z","2021-01-07T10:00:00.000Z","85"
"2021-01-07T10:00:00.000Z","2021-01-07T11:00:00.000Z","86.43"
"2021-01-07T11:00:00.000Z","2021-01-07T12:00:00.000Z","85"
"2021-01-07T12:00:00.000Z","2021-01-07T13:00:00.000Z","85"
"2021-01-07T13:00:00.000Z","2021-01-07T14:00:00.000Z","85"
"2021-01-07T14:00:00.000Z","2021-01-07T15:00:00.000Z","81.56999"
"2021-01-07T15:00:00.000Z","2021-01-07T16:00:00.000Z","89.68"
"2021-01-07T16:00:00.000Z","2021-01-07T17:00:00.000Z","99.90999"
"2021-01-07T17:00:00.000Z","2021-01-07T18:00:00.000Z","84.62"
"2021-01-07T18:00:00.000Z","2021-01-07T19:00:00.000Z","77.79"
"2021-01-07T19:00:00.000Z","2021-01-07T20:00:00.000Z","65.2"
"2021-01-07T20:00:00.000Z","2021-01-07T21:00:00.000Z","59.32999"
"2021-01-07T21:00:00.000Z","2021-01-07T22:00:00.000Z","58.25999"
"2021-01-07T22:00:00.000Z","2021-01-07T23:00:00.000Z","50.99"
"2021-01-07T23:00:00.000Z","2021-01-08T00:00:00.000Z","49.31"
"2021-01-08T00:00:00.000Z","2021-01-08T01:00:00.000Z","47.38"
"2021-01-08T01:00:00.000Z","2021-01-08T02:00:00.000Z","45.78"
"2021-01-08T02:00:00.000Z","2021-01-08T03:00:00.000Z","44.50999"
"2021-01-08T03:00:00.000Z","2021-01-08T04:00:00.000Z","45.68999"
"2021-01-08T04:00:00.000Z","2021-01-08T05:00:00.000Z","50.32999"
"2021-01-08T05:00:00.000Z","2021-01-08T06:00:00.000Z","59.71"
"2021-01-08T06:00:00.000Z","2021-01-08T07:00:00.000Z","79.56"
"2021-01-08T07:00:00.000Z","2021-01-08T08:00:00.000Z","103.54"
"2021-01-08T08:00:00.000Z","2021-01-08T09:00:00.000Z","107.8"
"2021-01-08T09:00:00.000Z","2021-01-08T10:00:00.000Z","107.31999"
"2021-01-08T10:00:00.000Z","2021-01-08T11:00:00.000Z","104.39"
"2021-01-08T11:00:00.000Z","2021-01-08T12:00:00.000Z","100.04"
"2021-01-08T12:00:00.000Z","2021-01-08T13:00:00.000Z","95.37"
"2021-01-08T13:00:00.000Z","2021-01-08T14:00:00.000Z","92.71999"
"2021-01-08T14:00:00.000Z","2021-01-08T15:00:00.000Z","95.42"
"2021-01-08T15:00:00.000Z","2021-01-08T16:00:00.000Z","95"
"2021-01-08T16:00:00.000Z","2021-01-08T17:00:00.000Z","110"
"2021-01-08T17:00:00.000Z","2021-01-08T18:00:00.000Z","99.95"
"2021-01-08T18:00:00.000Z","2021-01-08T19:00:00.000Z","80.12"
"2021-01-08T19:00:00.000Z","2021-01-08T20:00:00.000Z","61.47999"
"2021-01-08T20:00:00.000Z","2021-01-08T21:00:00.000Z","59.43"
"2021-01-08T21:00:00.000Z","2021-01-08T22:00:00.000Z","56.21999"
"2021-01-08T22:00:00.000Z","2021-01-08T23:00:00.000Z","50.47999"
"2021-01-08T23:00:00.000Z","2021-01-09T00:00:00.000Z","47.57999"
"2021-01-09T00:00:00.000Z","2021-01-09T01:00:00.000Z","47.03999"
"2021-01-09T01:00:00.000Z","2021-01-09T02:00:00.000Z","46.47999"
"2021-01-09T02:00:00.000Z","2021-01-09T03:00:00.000Z","47.67"
"2021-01-09T03:00:00.000Z","2021-01-09T04:00:00.000Z","48.03999"
"2021-01-09T04:00:00.000Z","2021-01-09T05:00:00.000Z","47.77"
"2021-01-09T05:00:00.000Z","2021-01-09T06:00:00.000Z","48.25999"
"2021-01-09T06:00:00.000Z","2021-01-09T07:00:00.000Z","52.15999"
"2021-01-09T07:00:00.000Z","2021-01-09T08:00:00.000Z","58.10999"
"2021-01-09T08:00:00.000Z","2021-01-09T09:00:00.000Z","64.68"
"2021-01-09T09:00:00.000Z","2021-01-09T10:00:00.000Z","65.60999"
"2021-01-09T10:00:00.000Z","2021-01-09T11:00:00.000Z","79"
"2021-01-09T11:00:00.000Z","2021-01-09T12:00:00.000Z","90"
"2021-01-09T12:00:00.000Z","2021-01-09T13:00:00.000Z","79"
"2021-01-09T13:00:00.000Z","2021-01-09T14:00:00.000Z","62.84"
"2021-01-09T14:00:00.000Z","2021-01-09T15:00:00.000Z","72"
"2021-01-09T15:00:00.000Z","2021-01-09T16:00:00.000Z","115"
"2021-01-09T16:00:00.000Z","2021-01-09T17:00:00.000Z","134.41999"
"2021-01-09T17:00:00.000Z","2021-01-09T18:00:00.000Z","200"
"2021-01-09T18:00:00.000Z","2021-01-09T19:00:00.000Z","200"
"2021-01-09T19:00:00.000Z","2021-01-09T20:00:00.000Z","85"
"2021-01-09T20:00:00.000Z","2021-01-09T21:00:00.000Z","60"
"2021-01-09T21:00:00.000Z","2021-01-09T22:00:00.000Z","50"
"2021-01-09T22:00:00.000Z","2021-01-09T23:00:00.000Z","50"
"2021-01-09T23:00:00.000Z","2021-01-10T00:00:00.000Z","50"
"2021-01-10T00:00:00.000Z","2021-01-10T01:00:00.000Z","40"
"2021-01-10T01:00:00.000Z","2021-01-10T02:00:00.000Z","40"
"2021-01-10T02:00:00.000Z","2021-01-10T03:00:00.000Z","39.5"
"2021-01-10T03:00:00.000Z","2021-01-10T04:00:00.000Z","35.28999"
"2021-01-10T04:00:00.000Z","2021-01-10T05:00:00.000Z","35.65999"
"2021-01-10T05:00:00.000Z","2021-01-10T06:00:00.000Z","35.47999"
"2021-01-10T06:00:00.000Z","2021-01-10T07:00:00.000Z","37.60999"
"2021-01-10T07:00:00.000Z","2021-01-10T08:00:00.000Z","39.09"
"2021-01-10T08:00:00.000Z","2021-01-10T09:00:00.000Z","40.75999"
"2021-01-10T09:00:00.000Z","2021-01-10T10:00:00.000Z","44.15999"
"2021-01-10T10:00:00.000Z","2021-01-10T11:00:00.000Z","46.68999"
"2021-01-10T11:00:00.000Z","2021-01-10T12:00:00.000Z","44.75999"
"2021-01-10T12:00:00.000Z","2021-01-10T13:00:00.000Z","44.34"
"2021-01-10T13:00:00.000Z","2021-01-10T14:00:00.000Z","45.45"
"2021-01-10T14:00:00.000Z","2021-01-10T15:00:00.000Z","46.67"
"2021-01-10T15:00:00.000Z","2021-01-10T16:00:00.000Z","50.71999"
"2021-01-10T16:00:00.000Z","2021-01-10T17:00:00.000Z","54.95"
"2021-01-10T17:00:00.000Z","2021-01-10T18:00:00.000Z","53.34"
"2021-01-10T18:00:00.000Z","2021-01-10T19:00:00.000Z","49.39"
"2021-01-10T19:00:00.000Z","2021-01-10T20:00:00.000Z","46.43"
"2021-01-10T20:00:00.000Z","2021-01-10T21:00:00.000Z","44.49"
"2021-01-10T21:00:00.000Z","2021-01-10T22:00:00.000Z","41.79999"
"2021-01-10T22:00:00.000Z","2021-01-10T23:00:00.000Z","38"
"2021-01-10T23:00:00.000Z","2021-01-11T00:00:00.000Z","40.6"
"2021-01-11T00:00:00.000Z","2021-01-11T01:00:00.000Z","39.59"
"2021-01-11T01:00:00.000Z","2021-01-11T02:00:00.000Z","37.78"
"2021-01-11T02:00:00.000Z","2021-01-11T03:00:00.000Z","35.43"
"2021-01-11T03:00:00.000Z","2021-01-11T04:00:00.000Z","37.28999"
"2021-01-11T04:00:00.000Z","2021-01-11T05:00:00.000Z","41.40999"
"2021-01-11T05:00:00.000Z","2021-01-11T06:00:00.000Z","46.28"
"2021-01-11T06:00:00.000Z","2021-01-11T07:00:00.000Z","52.57999"
"2021-01-11T07:00:00.000Z","2021-01-11T08:00:00.000Z","67.23"
"2021-01-11T08:00:00.000Z","2021-01-11T09:00:00.000Z","58"
"2021-01-11T09:00:00.000Z","2021-01-11T10:00:00.000Z","50.40999"
"2021-01-11T10:00:00.000Z","2021-01-11T11:00:00.000Z","50.21"
"2021-01-11T11:00:00.000Z","2021-01-11T12:00:00.000Z","50"
"2021-01-11T12:00:00.000Z","2021-01-11T13:00:00.000Z","50"
"2021-01-11T13:00:00.000Z","2021-01-11T14:00:00.000Z","48.75999"
"2021-01-11T14:00:00.000Z","2021-01-11T15:00:00.000Z","50.25"
"2021-01-11T15:00:00.000Z","2021-01-11T16:00:00.000Z","43.28"
"2021-01-11T16:00:00.000Z","2021-01-11T17:00:00.000Z","44.97999"
"2021-01-11T17:00:00.000Z","2021-01-11T18:00:00.000Z","42.93"
"2021-01-11T18:00:00.000Z","2021-01-11T19:00:00.000Z","39.71"
"2021-01-11T19:00:00.000Z","2021-01-11T20:00:00.000Z","37.10999"
"2021-01-11T20:00:00.000Z","2021-01-11T21:00:00.000Z","34.24"
"2021-01-11T21:00:00.000Z","2021-01-11T22:00:00.000Z","33.21"
"2021-01-11T22:00:00.000Z","2021-01-11T23:00:00.000Z","27.39"
"2021-01-11T23:00:00.000Z","2021-01-12T00:00:00.000Z","19.43"
"2021-01-12T00:00:00.000Z","2021-01-12T01:00:00.000Z","15.82"
"2021-01-12T01:00:00.000Z","2021-01-12T02:00:00.000Z","19"
"2021-01-12T02:00:00.000Z","2021-01-12T03:00:00.000Z","24.14"
"2021-01-12T03:00:00.000Z","2021-01-12T04:00:00.000Z","27"
"2021-01-12T04:00:00.000Z","2021-01-12T05:00:00.000Z","35.03"
"2021-01-12T05:00:00.000Z","2021-01-12T06:00:00.000Z","40.14"
"2021-01-12T06:00:00.000Z","2021-01-12T07:00:00.000Z","54.50999"
"2021-01-12T07:00:00.000Z","2021-01-12T08:00:00.000Z","67"
"2021-01-12T08:00:00.000Z","2021-01-12T09:00:00.000Z","68.04999"
"2021-01-12T09:00:00.000Z","2021-01-12T10:00:00.000Z","65"
"2021-01-12T10:00:00.000Z","2021-01-12T11:00:00.000Z","67.23"
"2021-01-12T11:00:00.000Z","2021-01-12T12:00:00.000Z","53"
"2021-01-12T12:00:00.000Z","2021-01-12T13:00:00.000Z","48.04999"
"2021-01-12T13:00:00.000Z","2021-01-12T14:00:00.000Z","48.03999"
"2021-01-12T14:00:00.000Z","2021-01-12T15:00:00.000Z","52.00999"
"2021-01-12T15:00:00.000Z","2021-01-12T16:00:00.000Z","61.06"
"2021-01-12T16:00:00.000Z","2021-01-12T17:00:00.000Z","64.12"
"2021-01-12T17:00:00.000Z","2021-01-12T18:00:00.000Z","60.39999"
"2021-01-12T18:00:00.000Z","2021-01-12T19:00:00.000Z","50.45"
"2021-01-12T19:00:00.000Z","2021-01-12T20:00:00.000Z","41.78999"
"2021-01-12T20:00:00.000Z","2021-01-12T21:00:00.000Z","40.71"
"2021-01-12T21:00:00.000Z","2021-01-12T22:00:00.000Z","37.75"
"2021-01-12T22:00:00.000Z","2021-01-12T23:00:00.000Z","34.61999"
"2021-01-12T23:00:00.000Z","2021-01-13T00:00:00.000Z","33.03"
"2021-01-13T00:00:00.000Z","2021-01-13T01:00:00.000Z","32.43"
"2021-01-13T01:00:00.000Z","2021-01-13T02:00:00.000Z","31.57999"
"2021-01-13T02:00:00.000Z","2021-01-13T03:00:00.000Z","30.84"
"2021-01-13T03:00:00.000Z","2021-01-13T04:00:00.000Z","31.68"
"2021-01-13T04:00:00.000Z","2021-01-13T05:00:00.000Z","36.81"
"2021-01-13T05:00:00.000Z","2021-01-13T06:00:00.000Z","41.86999"
"2021-01-13T06:00:00.000Z","2021-01-13T07:00:00.000Z","50.28"
"2021-01-13T07:00:00.000Z","2021-01-13T08:00:00.000Z","56.14"
"2021-01-13T08:00:00.000Z","2021-01-13T09:00:00.000Z","52.04999"
"2021-01-13T09:00:00.000Z","2021-01-13T10:00:00.000Z","62.78"
"2021-01-13T10:00:00.000Z","2021-01-13T11:00:00.000Z","64.12"
"2021-01-13T11:00:00.000Z","2021-01-13T12:00:00.000Z","62"
"2021-01-13T12:00:00.000Z","2021-01-13T13:00:00.000Z","64.09999"
"2021-01-13T13:00:00.000Z","2021-01-13T14:00:00.000Z","62.85999"
"2021-01-13T14:00:00.000Z","2021-01-13T15:00:00.000Z","64.76"
"2021-01-13T15:00:00.000Z","2021-01-13T16:00:00.000Z","68.46999"
"2021-01-13T16:00:00.000Z","2021-01-13T17:00:00.000Z","67.65"
"2021-01-13T17:00:00.000Z","2021-01-13T18:00:00.000Z","69.39"
"2021-01-13T18:00:00.000Z","2021-01-13T19:00:00.000Z","57.92"
"2021-01-13T19:00:00.000Z","2021-01-13T20:00:00.000Z","50.25"
"2021-01-13T20:00:00.000Z","2021-01-13T21:00:00.000Z","50.46999"
"2021-01-13T21:00:00.000Z","2021-01-13T22:00:00.000Z","46.35"
"2021-01-13T22:00:00.000Z","2021-01-13T23:00:00.000Z","38.03"
"2021-01-13T23:00:00.000Z","2021-01-14T00:00:00.000Z","44.15999"
"2021-01-14T00:00:00.000Z","2021-01-14T01:00:00.000Z","44.17"
"2021-01-14T01:00:00.000Z","2021-01-14T02:00:00.000Z","36.97999"
"2021-01-14T02:00:00.000Z","2021-01-14T03:00:00.000Z","39.43999"
"2021-01-14T03:00:00.000Z","2021-01-14T04:00:00.000Z","45.86999"
"2021-01-14T04:00:00.000Z","2021-01-14T05:00:00.000Z","80.04"
"2021-01-14T05:00:00.000Z","2021-01-14T06:00:00.000Z","82.35999"
"2021-01-14T06:00:00.000Z","2021-01-14T07:00:00.000Z","121.63"
"2021-01-14T07:00:00.000Z","2021-01-14T08:00:00.000Z","91"
"2021-01-14T08:00:00.000Z","2021-01-14T09:00:00.000Z","89.26999"
"2021-01-14T09:00:00.000Z","2021-01-14T10:00:00.000Z","89.62999"
"2021-01-14T10:00:00.000Z","2021-01-14T11:00:00.000Z","91.04999"
"2021-01-14T11:00:00.000Z","2021-01-14T12:00:00.000Z","89.14"
"2021-01-14T12:00:00.000Z","2021-01-14T13:00:00.000Z","92"
"2021-01-14T13:00:00.000Z","2021-01-14T14:00:00.000Z","86.04"
"2021-01-14T14:00:00.000Z","2021-01-14T15:00:00.000Z","99.06999"
"2021-01-14T15:00:00.000Z","2021-01-14T16:00:00.000Z","99.93999"
"2021-01-14T16:00:00.000Z","2021-01-14T17:00:00.000Z","103.14"
"2021-01-14T17:00:00.000Z","2021-01-14T18:00:00.000Z","92.37999"
"2021-01-14T18:00:00.000Z","2021-01-14T19:00:00.000Z","87.7"
"2021-01-14T19:00:00.000Z","2021-01-14T20:00:00.000Z","74.57999"
"2021-01-14T20:00:00.000Z","2021-01-14T21:00:00.000Z","62.74"
"2021-01-14T21:00:00.000Z","2021-01-14T22:00:00.000Z","101"
"2021-01-14T22:00:00.000Z","2021-01-14T23:00:00.000Z","100.81"
"2021-01-14T23:00:00.000Z","2021-01-15T00:00:00.000Z","70"
"2021-01-15T00:00:00.000Z","2021-01-15T01:00:00.000Z","70"
"2021-01-15T01:00:00.000Z","2021-01-15T02:00:00.000Z","68"
"2021-01-15T02:00:00.000Z","2021-01-15T03:00:00.000Z","60"
"2021-01-15T03:00:00.000Z","2021-01-15T04:00:00.000Z","59"
"2021-01-15T04:00:00.000Z","2021-01-15T05:00:00.000Z","142"
"2021-01-15T05:00:00.000Z","2021-01-15T06:00:00.000Z","142"
"2021-01-15T06:00:00.000Z","2021-01-15T07:00:00.000Z","999"
"2021-01-15T07:00:00.000Z","2021-01-15T08:00:00.000Z","365"
"2021-01-15T08:00:00.000Z","2021-01-15T09:00:00.000Z","520"
"2021-01-15T09:00:00.000Z","2021-01-15T10:00:00.000Z","520"
"2021-01-15T10:00:00.000Z","2021-01-15T11:00:00.000Z","300"
"2021-01-15T11:00:00.000Z","2021-01-15T12:00:00.000Z","230"
